query,label
0.png,"0.stl,1.stl,166.stl,220.stl,62.stl"
1.png,"1.stl,3.stl,62.stl,73.stl,77.stl"
2.png,"2.stl,206.stl,71.stl,61.stl,110.stl"
3.png,"3.stl,32.stl,46.stl,226.stl,246.stl"
4.png,"4.stl,60.stl,130.stl,164.stl,101.stl"
5.png,"5.stl,77.stl,136.stl,66.stl,170.stl"
6.png,"6.stl,113.stl,119.stl,116.stl,76.stl"
7.png,"7.stl,226.stl,26.stl,1.stl,100.stl"
8.png,"8.stl,209.stl,156.stl,137.stl,47.stl"
9.png,"9.stl,131.stl,77.stl,121.stl,216.stl"
10.png,"10.stl,73.stl,61.stl,235.stl,251.stl"
11.png,"11.stl,89.stl,249.stl,173.stl,176.stl"
12.png,"226.stl,76.stl,12.stl,108.stl,193.stl"
13.png,"13.stl,241.stl,123.stl,5.stl,56.stl"
14.png,"113.stl,56.stl,108.stl,224.stl,14.stl"
15.png,"15.stl,150.stl,225.stl,161.stl,246.stl"
16.png,"16.stl,123.stl,139.stl,165.stl,77.stl"
17.png,"124.stl,56.stl,34.stl,77.stl,171.stl"
18.png,"18.stl,123.stl,43.stl,86.stl,98.stl"
19.png,"19.stl,172.stl,149.stl,220.stl,97.stl"
20.png,"20.stl,5.stl,72.stl,77.stl,38.stl"
21.png,"21.stl,61.stl,125.stl,158.stl,226.stl"
22.png,"22.stl,195.stl,3.stl,39.stl,61.stl"
23.png,"103.stl,62.stl,69.stl,7.stl,56.stl"
24.png,"24.stl,3.stl,22.stl,95.stl,66.stl"
25.png,"25.stl,45.stl,126.stl,11.stl,68.stl"
26.png,"26.stl,121.stl,77.stl,179.stl,2.stl"
27.png,"27.stl,135.stl,208.stl,161.stl,3.stl"
28.png,"28.stl,110.stl,176.stl,96.stl,95.stl"
29.png,"29.stl,113.stl,8.stl,98.stl,12.stl"
30.png,"30.stl,76.stl,77.stl,197.stl,7.stl"
31.png,"31.stl,216.stl,226.stl,28.stl,96.stl"
32.png,"32.stl,71.stl,56.stl,65.stl,150.stl"
33.png,"3.stl,193.stl,227.stl,16.stl,38.stl"
34.png,"34.stl,39.stl,78.stl,210.stl,231.stl"
35.png,"35.stl,24.stl,194.stl,200.stl,14.stl"
36.png,"233.stl,23.stl,161.stl,117.stl,123.stl"
37.png,"196.stl,37.stl,32.stl,182.stl,76.stl"
38.png,"78.stl,38.stl,41.stl,5.stl,18.stl"
39.png,"39.stl,87.stl,2.stl,91.stl,113.stl"
40.png,"40.stl,209.stl,137.stl,177.stl,117.stl"
41.png,"177.stl,41.stl,26.stl,45.stl,66.stl"
42.png,"42.stl,113.stl,3.stl,96.stl,217.stl"
43.png,"43.stl,1.stl,137.stl,38.stl,145.stl"
44.png,"44.stl,71.stl,49.stl,74.stl,77.stl"
45.png,"45.stl,25.stl,204.stl,117.stl,203.stl"
46.png,"60.stl,113.stl,156.stl,21.stl,22.stl"
47.png,"47.stl,153.stl,121.stl,249.stl,161.stl"
48.png,"72.stl,53.stl,113.stl,114.stl,116.stl"
49.png,"49.stl,139.stl,28.stl,124.stl,161.stl"
50.png,"50.stl,139.stl,130.stl,129.stl,175.stl"
51.png,"51.stl,82.stl,156.stl,148.stl,55.stl"
52.png,"52.stl,103.stl,115.stl,214.stl,116.stl"
53.png,"53.stl,222.stl,2.stl,7.stl,188.stl"
54.png,"54.stl,105.stl,243.stl,194.stl,29.stl"
55.png,"55.stl,121.stl,248.stl,76.stl,117.stl"
56.png,"56.stl,7.stl,175.stl,40.stl,71.stl"
57.png,"57.stl,5.stl,219.stl,119.stl,19.stl"
58.png,"58.stl,91.stl,113.stl,85.stl,128.stl"
59.png,"59.stl,113.stl,82.stl,101.stl,105.stl"
60.png,"60.stl,136.stl,206.stl,0.stl,56.stl"
61.png,"61.stl,153.stl,7.stl,69.stl,96.stl"
62.png,"62.stl,24.stl,203.stl,153.stl,183.stl"
63.png,"47.stl,131.stl,46.stl,112.stl,142.stl"
64.png,"113.stl,64.stl,36.stl,75.stl,217.stl"
65.png,"65.stl,224.stl,123.stl,12.stl,22.stl"
66.png,"66.stl,14.stl,50.stl,58.stl,113.stl"
67.png,"67.stl,154.stl,31.stl,51.stl,231.stl"
68.png,"68.stl,113.stl,66.stl,76.stl,137.stl"
69.png,"69.stl,113.stl,89.stl,161.stl,46.stl"
70.png,"70.stl,113.stl,242.stl,43.stl,51.stl"
71.png,"71.stl,44.stl,218.stl,121.stl,46.stl"
72.png,"72.stl,3.stl,82.stl,121.stl,193.stl"
73.png,"73.stl,212.stl,71.stl,10.stl,38.stl"
74.png,"74.stl,121.stl,182.stl,44.stl,218.stl"
75.png,"75.stl,51.stl,138.stl,222.stl,133.stl"
76.png,"76.stl,215.stl,237.stl,31.stl,67.stl"
77.png,"77.stl,175.stl,104.stl,165.stl,225.stl"
78.png,"78.stl,46.stl,19.stl,38.stl,176.stl"
79.png,"82.stl,86.stl,53.stl,62.stl,95.stl"
80.png,"199.stl,65.stl,91.stl,161.stl,26.stl"
81.png,"81.stl,123.stl,207.stl,36.stl,56.stl"
82.png,"82.stl,154.stl,203.stl,5.stl,60.stl"
83.png,"83.stl,130.stl,49.stl,156.stl,112.stl"
84.png,"84.stl,132.stl,58.stl,118.stl,150.stl"
85.png,"85.stl,225.stl,160.stl,6.stl,149.stl"
86.png,"86.stl,245.stl,142.stl,149.stl,205.stl"
87.png,"77.stl,84.stl,36.stl,82.stl,186.stl"
88.png,"232.stl,3.stl,210.stl,239.stl,26.stl"
89.png,"4.stl,26.stl,101.stl,92.stl,34.stl"
90.png,"29.stl,87.stl,107.stl,108.stl,226.stl"
91.png,"91.stl,243.stl,138.stl,100.stl,80.stl"
92.png,"92.stl,24.stl,9.stl,121.stl,14.stl"
93.png,"93.stl,3.stl,78.stl,75.stl,133.stl"
94.png,"26.stl,94.stl,221.stl,244.stl,181.stl"
95.png,"95.stl,89.stl,101.stl,155.stl,182.stl"
96.png,"96.stl,99.stl,1.stl,156.stl,128.stl"
97.png,"97.stl,24.stl,145.stl,103.stl,116.stl"
98.png,"98.stl,103.stl,12.stl,31.stl,121.stl"
99.png,"99.stl,165.stl,95.stl,96.stl,68.stl"
100.png,"100.stl,57.stl,192.stl,72.stl,66.stl"
